TDA,coded,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
a la militaire,[a la militaire person],NA,NA,NA,NA,NA
a la mode,[a la mode person],NA,NA,NA,NA,NA
a-tiptoe,[a - tiptoe person],NA,NA,NA,NA,NA
abandoned,[abandoned person],-0.113878148406818,0.028759408484330895,-0.04261452381915027,-0.03111125128564467,-0.02751357596258256
abashed,[abashed person],NA,-0.057515627461863075,-0.0505956304860559,-0.04930060657357795,-0.05968316196895496
abject,[abject person],-0.12278623672435976,-0.05482925963964823,-0.04975829365623097,NA,NA
ablaze,[ablaze person],NA,NA,NA,NA,NA
able,[able person],0.028930258558514825,-0.029190242976182723,0.08465024360721761,-0.046386003310057024,-0.052622762191450914
abnormal,[abnormal person],-0.07920090089912221,-0.053092744644913134,-0.04565052439194422,-0.04890332008418342,-0.05887977503711058
abortive,[abortive person],NA,-0.056064292407678344,-0.050647690758842144,-0.050265774479032826,NA
aboveboard,[aboveboard person],NA,NA,NA,NA,NA
abrasive,[abrasive person],-0.11531880485803442,-0.052847928641430515,-0.04706008923337781,NA,NA
abrupt,[abrupt person],-0.12742924537472156,-0.056860181949938055,-0.04917559204539452,NA,NA
absent,[absent person],0.1774103497416587,-0.03842421736236502,-0.03291228446207256,-0.04615401227643024,-0.04695101002365675
absent-minded,[absent - minded person],-0.1146530407254496,-0.056673494331173455,-0.04756927614442918,-0.0495168166568128,-0.05855808846301683
absinthine,[absinthine person],NA,NA,NA,NA,NA
absolute,[absolute person],-0.08618759078531778,-0.05576404744746485,-0.046921883211883265,NA,-0.059221864788270816
absolutist,[absolutist person],NA,NA,NA,NA,NA
absorbed,[absorbed person],-0.08857874190855235,-0.04840034722850153,-0.04228555189384177,-0.04872546487139609,-0.05734157852447199
absorbent,[absorbent person],NA,NA,NA,NA,NA
absorbing,[absorbing person],-0.12975129715949257,-0.05765453356711114,-0.047173251004277876,NA,NA
abstemious,[abstemious person],-0.1236040680328165,-0.05747819948913599,-0.044250356329643206,NA,-0.06075924206325552
abstentious,[abstentious person],NA,NA,NA,NA,NA
abstinent,[abstinent person],-0.12193162266143752,-0.05686247874542827,-0.0505966426010023,NA,NA
abstract,[abstract person],-0.08071137670628041,-0.053346799197885285,-0.037004892178430934,-0.050046465491291124,NA
abstracted,[abstracted person],-0.12941073390435498,-0.05717977222567437,-0.04856505226473861,-0.05015722372102288,-0.060077649207286705
abstractive,[abstractive person],NA,NA,NA,NA,NA
abstruse,[abstruse person],NA,NA,NA,NA,NA
absurd,[absurd person],-0.1000072579958337,-0.0537090449992205,-0.03440315825063122,-0.04897608410960292,-0.05766873955498782
abundant,[abundant person],-0.12466199108828273,-0.056727030646045125,-0.050586223266057606,NA,NA
abusive,[abusive person],0.028790321987372233,-0.045738397645548906,0.03435636776800852,NA,-0.0569296150672362
abysmal,[abysmal person],NA,NA,-0.05077785316561775,NA,NA
academic,[academic person],-0.09668821799992663,-0.043257258253194715,-0.04284995405332778,-0.04874488336597737,-0.058202748252896085
acanaceous,[acanaceous person],NA,NA,NA,NA,NA
acaroid,[acaroid person],NA,NA,NA,NA,NA
acceding,[acceding person],NA,NA,NA,NA,NA
accelerative,[accelerative person],NA,NA,NA,NA,NA
accendible,[accendible person],NA,NA,NA,NA,NA
acceptable,[acceptable person],-0.08472155042435849,-0.05066722903146576,-0.04672847605123204,-0.04807751123657016,-0.056904528374139327
acceptant,[acceptant person],-0.12969175539432504,NA,NA,NA,NA
accepting,[accepting person],-0.07375200967904309,-0.052396295734544136,-0.047692568659102194,-0.04957295962310435,-0.06062069111466671
accessible,[accessible person],-0.11358776426952474,-0.05627357647359223,-0.04829598212563755,-0.04999871775835958,NA
accident-prone,[accident-prone person],NA,NA,NA,NA,NA
accidental,[accidental person],-0.12667254251911342,-0.05311654922357377,-0.0446533624583519,NA,NA
accidential,[accidential person],NA,NA,NA,NA,NA
accipitral,[accipitral person],NA,NA,NA,NA,NA
acclaimed,[acclaimed person],-0.1302019980285218,-0.05523070272669682,-0.04975924970090667,NA,NA
accommodating,[accommodating person],-0.10557522131876287,-0.05081493700370452,-0.0431664195146376,-0.04795533706168593,-0.06043211773407594
accomplished,[accomplished person],0.0042197255435203335,0.07566667942585645,0.00281434316827953,-0.030621307325697598,-0.05490214282828014
accordiable,[accordiable person],NA,NA,NA,NA,NA
accostable,[accostable person],NA,NA,NA,NA,NA
accountable,[accountable person],-0.06555442166357546,NA,-0.050547399076252796,NA,NA
accountless,[accountless person],NA,NA,NA,NA,NA
accrescent,[accrescent person],NA,NA,NA,NA,NA
accretive,[accretive person],NA,NA,NA,NA,NA
accroaching,[accroaching person],NA,NA,NA,NA,NA
accumbrous,[accumbrous person],NA,NA,NA,NA,NA
accurate,[accurate person],-0.11492320766553255,-0.0575434048332733,-0.048741159475291285,-0.05031165001913288,-0.06042682678433519
accursed,[accursed person],-0.12387964656011134,-0.03902934206140363,-0.04236471340885875,-0.04880115822647322,-0.05683697876688528
accusing,[accusing person],-0.12827678170020138,-0.05520173623795157,-0.05008888645539345,-0.04995980060523772,NA
accusive,[accusive person],NA,NA,NA,NA,NA
