TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore,freq_index
a la militaire,NA,NA,NA,NA,NA,NA
a la mode,NA,NA,NA,NA,NA,NA
a-tiptoe,NA,NA,NA,NA,NA,NA
abandoned,-0.113878148406818,0.02875940848433089,-0.04261452381915027,-0.03111125128564467,-0.02751357596258256,-0.053779374868548876
abashed,NA,-0.05751562746186307,-0.0505956304860559,-0.04930060657357795,-0.05968316196895496,-0.055931473305624646
abject,-0.12278623672435976,-0.05482925963964823,-0.04975829365623097,NA,NA,-0.08880774818200399
ablaze,NA,NA,NA,NA,NA,NA
able,0.02893025855851482,-0.02919024297618272,0.08465024360721761,-0.04638600331005702,-0.05262276219145091,-0.024817187479793956
abnormal,-0.07920090089912221,-0.05309274464491313,-0.04565052439194422,-0.04890332008418342,-0.05887977503711058,-0.06001918516633233
abortive,NA,-0.05606429240767834,-0.05064769075884214,-0.05026577447903282,NA,-0.05335599158326024
aboveboard,NA,NA,NA,NA,NA,NA
abrasive,-0.11531880485803442,-0.05284792864143051,-0.04706008923337781,NA,NA,-0.08408336674973246
abrupt,-0.12742924537472156,-0.05686018194993805,-0.04917559204539452,NA,NA,-0.0921447136623298
absent,0.1774103497416587,-0.03842421736236502,-0.03291228446207256,-0.04615401227643024,-0.04695101002365675,-0.04111038103113114
absent-minded,-0.1146530407254496,-0.05667349433117345,-0.04756927614442918,-0.0495168166568128,-0.05855808846301683,-0.06985036004411317
absinthine,NA,NA,NA,NA,NA,NA
absolute,-0.08618759078531778,-0.05576404744746485,-0.04692188321188326,NA,-0.05922186478827081,-0.06705783434035115
absolutist,NA,NA,NA,NA,NA,NA
absorbed,-0.08857874190855235,-0.04840034722850153,-0.04228555189384177,-0.04872546487139609,-0.05734157852447199,-0.06076153313323049
absorbent,NA,NA,NA,NA,NA,NA
absorbing,-0.12975129715949257,-0.05765453356711114,-0.04717325100427787,NA,NA,-0.09370291536330186
abstemious,-0.1236040680328165,-0.05747819948913599,-0.0442503563296432,NA,-0.06075924206325552,-0.08061383652840266
abstentious,NA,NA,NA,NA,NA,NA
abstinent,-0.12193162266143752,-0.05686247874542827,-0.0505966426010023,NA,NA,-0.0893970507034329
abstract,-0.08071137670628041,-0.05334679919788528,-0.03700489217843093,-0.05004646549129112,NA,-0.0613682137984856
abstracted,-0.12941073390435498,-0.05717977222567437,-0.04856505226473861,-0.05015722372102288,-0.0600776492072867,-0.07420634476458474
abstractive,NA,NA,NA,NA,NA,NA
abstruse,NA,NA,NA,NA,NA,NA
absurd,-0.1000072579958337,-0.0537090449992205,-0.03440315825063122,-0.04897608410960292,-0.05766873955498782,-0.06509028166491124
abundant,-0.12466199108828271,-0.05672703064604512,-0.0505862232660576,NA,NA,-0.09069451086716392
abusive,0.02879032198737223,-0.0457383976455489,0.03435636776800852,NA,-0.0569296150672362,-0.024625896908470956
abysmal,NA,NA,-0.05077785316561775,NA,NA,NA
academic,-0.09668821799992663,-0.04325725825319471,-0.04284995405332778,-0.04874488336597737,-0.05820274825289608,-0.061723276967998696
acanaceous,NA,NA,NA,NA,NA,NA
acaroid,NA,NA,NA,NA,NA,NA
acceding,NA,NA,NA,NA,NA,NA
accelerative,NA,NA,NA,NA,NA,NA
accendible,NA,NA,NA,NA,NA,NA
acceptable,-0.08472155042435849,-0.05066722903146576,-0.04672847605123204,-0.04807751123657016,-0.05690452837413932,-0.060092704766633434
acceptant,-0.12969175539432504,NA,NA,NA,NA,NA
accepting,-0.07375200967904309,-0.05239629573454413,-0.04769256865910219,-0.04957295962310435,-0.06062069111466671,-0.05908548903783957
accessible,-0.11358776426952474,-0.05627357647359223,-0.04829598212563755,-0.04999871775835958,NA,-0.07328668616715885
accident-prone,NA,NA,NA,NA,NA,NA
accidental,-0.12667254251911342,-0.05311654922357377,-0.0446533624583519,NA,NA,-0.0898945458713436
accidential,NA,NA,NA,NA,NA,NA
accipitral,NA,NA,NA,NA,NA,NA
acclaimed,-0.1302019980285218,-0.05523070272669682,-0.04975924970090667,NA,NA,-0.09271635037760931
accommodating,-0.10557522131876287,-0.05081493700370452,-0.0431664195146376,-0.04795533706168593,-0.06043211773407594,-0.06619440327955732
