term,roi_person_serps,roi_person_books
friendly,6.135372668,40
active,2.587447445,70
shy,2.213981632,70
quiet,1.653782912,40
energetic,1.653782912,20
serious,1.467050006,55
social,1.214960582,34
confident,1.130930774,35
enthusiastic,0.944197868,8
outspoken,0.589405345,6.5
sociable,0.397070452,12
silent,0.346652567,6
talkative,0.339183251,14
aggressive,0.206602887,40
competitive,0.148715686,12
adventurous,0.103899788,55
spirited,-0.039884549,9
reserved,-0.073496473,12
merry,-0.101506409,1.2
timid,-0.105241067,14
spontaneous,-0.122047028,5
communicative,-0.150056964,NA
direct,-0.164995597,NA
straightforward,-0.168730255,NA
dominant,-0.202342178,NA
humorous,-0.217280811,NA
introverted,-0.224750127,NA
passive,-0.250892734,NA
dull,-0.252760063,NA
assertive,-0.25836205,NA
pessimistic,-0.260229379,NA
bold,-0.284504657,NA
carefree,-0.284504657,NA
zealous,-0.290106644,NA
extroverted,-0.303177948,NA
mischievous,-0.310647264,NA
gregarious,-0.316249251,NA
daring,-0.31811658,NA
forceful,-0.31811658,NA
playful,-0.321851238,NA
expressive,-0.325585896,NA
submissive,-0.325585896,NA
unfriendly,-0.329320555,NA
cowardly,-0.331187884,NA
verbal,-0.351728503,NA
restrained,-0.351728503,NA
boisterous,-0.357330491,NA
assured,-0.357330491,NA
meek,-0.35919782,NA
vivacious,-0.364799807,NA
flirtatious,-0.366667136,NA
withdrawn,-0.368534465,NA
flamboyant,-0.374136452,NA
vigorous,-0.376003781,NA
detached,-0.376003781,NA
unsociable,-0.379738439,NA
melancholic,-0.379738439,NA
placid,-0.379738439,NA
opportunistic,-0.379738439,NA
magnetic,-0.381605768,NA
sedate,-0.381605768,NA
bashful,-0.383473097,NA
bland,-0.383473097,NA
inhibited,-0.385340426,NA
sluggish,-0.385340426,NA
aloof,-0.385340426,NA
uninhibited,-0.390942414,NA
unadventurous,-0.392809743,NA
indirect,-0.392809743,NA
rambunctious,-0.394677072,NA
unrestrained,-0.394677072,NA
uncommunicative,-0.396544401,NA
somber,-0.396544401,NA
uncompetitive,-0.396544401,NA
unaggressive,-0.39841173,NA
nonpersistent,-0.39841173,NA
negativistic,-0.399345394,NA
exhibitionistic,-0.399345394,NA
honest,6.695571387,100
reasonable,6.135372668,550
kind,4.454776509,65
warm,4.268043603,24
religious,3.334379071,170
sensitive,1.433438083,110
helpful,1.048768295,24
generous,0.936728551,55
passionate,0.858300731,12
humble,0.781740239,33
jovial,0.757464961,3
optimistic,0.72011838,14
understanding,0.665965837,22
cheerful,0.652894534,16
compassionate,0.634221243,40
loyal,0.527783486,13
sincere,0.484834918,15
rude,0.410141755,80
pleasant,0.402672439,31
thoughtful,0.346652567,50
moral,0.26075543,140
flexible,0.171123635,9
respectful,0.128175066,2.6
peaceful,0.053481904,13
bitter,0.044145258,9
polite,0.032941284,8
greedy,0.014267993,15
considerate,0.008666006,15
stubborn,0.008666006,10
affectionate,0.003064019,8
modest,-0.062292498,14
cruel,-0.067894485,12
cynical,-0.077231131,6
cold,-0.092169763,12
sarcastic,-0.127649016,1.6
tolerant,-0.133251003,NA
conscientious,-0.1780669,NA
tough,-0.191138204,NA
abusive,-0.213546153,NA
gullible,-0.215413482,NA
sympathetic,-0.21914814,NA
sentimental,-0.224750127,NA
charitable,-0.247158076,NA
critical,-0.247158076,NA
insensitive,-0.260229379,NA
trustful,-0.267698695,NA
agreeable,-0.275168012,NA
demanding,-0.277035341,NA
amiable,-0.280769999,NA
deceitful,-0.282637328,NA
intolerant,-0.301310619,NA
unselfish,-0.303177948,NA
inconsiderate,-0.306912606,NA
conceited,-0.314381922,NA
feminine,-0.323718567,NA
courteous,-0.327453225,NA
benevolent,-0.329320555,NA
egotistical,-0.331187884,NA
belligerent,-0.331187884,NA
argumentative,-0.336789871,NA
disrespectful,-0.340524529,NA
cooperative,-0.344259187,NA
accommodating,-0.344259187,NA
boastful,-0.346126516,NA
rebellious,-0.346126516,NA
ruthless,-0.349861174,NA
rough,-0.353595832,NA
unkind,-0.353595832,NA
harsh,-0.362932478,NA
sly,-0.364799807,NA
domineering,-0.366667136,NA
impolite,-0.366667136,NA
callous,-0.368534465,NA
bigoted,-0.370401794,NA
combative,-0.372269123,NA
egocentric,-0.376003781,NA
obliging,-0.37787111,NA
insincere,-0.37787111,NA
genial,-0.379738439,NA
cordial,-0.383473097,NA
