TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
a la militaire,-0.018979981833129243,-0.049492746078659645,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
a la mode,-0.017824005577056646,-0.0489156379272298,-0.025676396885937928,-0.02206386613923902,-0.012359777395950912
a-tiptoe,-0.018977209418750755,-0.04949388886707832,-0.02641128040639254,-0.025859279733229643,-0.01400399399267595
abandoned,-0.0162919452835548,0.0560228132647792,0.022284474554962585,-0.006126394415881654,0.022641904756651857
abashed,-0.018796761404638068,-0.04754048253009334,-0.025530570917381194,-0.02546791335730545,-0.012453211044407551
abject,0.029597539668148747,-0.04149513179531338,-0.025691277086811064,-0.02566738792838219,-0.013945490154334637
ablaze,-0.017990350439765736,-0.03894290432694377,-0.021602197886873283,-0.02384684090126057,-0.012510708674227022
able,0.05575466663037536,0.07011720376174571,0.06910750663576395,0.029396474406003608,0.021420080122988103
abnormal,-0.003912512384842024,0.0019308281142591018,0.0073050723426723125,0.003095888835953943,-0.010584538075274754
abortive,-0.018819663958199465,-0.047361445677834575,-0.02619918794328077,-0.025845958657421435,-0.01393593117337715
aboveboard,-0.018709972780615935,-0.048847070622109426,-0.026113874791608125,-0.025747314383231433,-0.013904307476976442
abrasive,-0.017545558741652298,-0.03501933075616661,-0.019975295924743744,-0.023361817115423292,-0.012941940897873051
abrupt,-0.017425018986066,-0.043285500317901016,-0.02241564886793805,-0.02409959977557014,-0.012999438527692522
absent,-0.005117909940705001,0.019834513340135477,-0.012039188792404527,-0.008449043531158768,-0.003591388848481635
absent-minded,0.016338166553655997,-0.030295805292318373,-0.02233628779661466,-0.025271171314599623,0.01344228398553655
absinthine,-0.018979981833129243,-0.0494946507260241,-0.0264232837684302,-0.025868911895737118,-0.014012834253260692
absolute,-0.008179619732596963,0.02631031437928225,-9.28638807129624e-4,0.007126368183052463,-0.010771405372188033
absolutist,-0.01883653952398155,-0.048226155581297114,-0.025910512046341934,-0.025868365390062934,-0.013850403449020688
absorbed,-0.006684926763326872,7.880396955861418e-4,-0.011443980757479086,-0.02044484307947233,-0.010907962243009276
absorbent,-0.01824348392649696,-0.034981237808877505,-0.023407662259480454,-0.022740166911040298,-0.012510708674227022
absorbing,-0.018102452412460994,-0.039933320956460336,0.012165937961230083,-0.023368648436350576,-0.010246739500085363
abstemious,-0.01791079420107878,-0.049342278936867705,-0.0214037952085648,-0.025707009589760448,-0.013980563708524515
abstentious,-0.018971182430971442,-0.04948703213656628,-0.026412074017105772,-0.025868911895737118,-0.014012762381223419
abstinent,0.011154957063445194,-0.0494946507260241,-0.025670444805588673,-0.024372852612661564,-0.013639818379806877
abstract,0.035865606958636234,0.3961928325564303,0.004428233507199347,-0.00271073395223884,-0.002297692177543545
abstracted,-0.018529163147236488,-0.0471785995308469,-0.023754866946520296,-0.025617519285613004,-0.013813748710010775
abstractive,-0.01895816413736812,-0.04914686211727463,-0.02640870117157453,-0.02586754563155166,-0.014012762381223419
abstruse,-0.018913684967556778,-0.04704527421533505,-0.026272596934254912,-0.025670120456753105,-0.013974598329430744
absurd,-0.010783278453260995,0.026691243852173235,-0.016404047715191095,-0.009815307716615892,-0.004166365146676341
abundant,0.015012229242206722,-0.02210582162516216,-0.015908041019419894,-0.020328710623708474,-0.011353568874110175
abusive,0.05250009322954532,0.6247505162910223,0.17991540247105026,-0.022733335590113014,-0.004453853295773694
abysmal,-0.018339915730966,-0.04435210284199578,-0.02406239109789844,-0.02489203300313527,-0.014012834253260692
academic,-0.012796292371552167,-0.03749537232995802,-0.020699465700569696,-0.007697598229157348,-0.009204594959607458
acanaceous,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
acaroid,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
acceding,-0.018967566238303854,-0.049493127008132534,-0.026406121936756517,-0.02586829707685366,-0.014012834253260692
accelerative,-0.018979861293373656,-0.0494946507260241,-0.026421498144325425,-0.025868911895737118,-0.014012834253260692
accendible,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
acceptable,0.0267045855340776,0.11125758683397227,0.028434957582525476,0.007809500275781025,0.006183208220828378
acceptant,-0.018901028293220216,-0.049493127008132534,-0.02642278776173443,-0.025868638642900024,-0.014012834253260692
accepting,-0.004153591896014619,-0.04016187864019493,-0.022405728734022627,-0.02083422837232761,-0.012575393507773926
accessible,-0.0012606377619434736,0.05297537748165131,0.0016505960108806213,-0.007287718973520211,-0.013754094919073074
accident-prone,-0.012265917446972457,0.06059396693947105,-0.025899599899034967,-0.0248305511147897,-0.013021000138874823
accidental,-0.014881630143195119,0.0647841911412719,0.003039414759039984,0.008697571996328157,0.03938808944157269
accidential,-0.018979138054840135,-0.049304566919051496,-0.026300373309218097,-0.025868843582527844,-0.01401261863714887
accipitral,-0.018979981833129243,-0.0494946507260241,-0.0264232837684302,-0.025868911895737118,-0.014012834253260692
acclaimed,-0.018366434477194986,-0.04469493936759767,-0.022604131412331106,-0.023013419748131723,-0.013319269093563327
accommodating,-2.963197172530917e-4,-0.0494946507260241,-0.023040617304609764,-0.003667118882058828,-0.005531933854888769
accomplished,0.04538824764995376,0.024405667014827315,-0.0028134642510601877,-0.004486877393333103,-4.290192084107483e-4
accordiable,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
accostable,-0.018979138054840135,-0.0494946507260241,-0.02641693488272433,-0.025868911895737118,-0.014012834253260692
accountable,0.007297684884683666,-0.009116126599579511,-0.008269537904543399,-0.01862771171281435,-0.009434585478885342
accountless,-0.01897636564046165,-0.0494946507260241,-0.026422886963073586,-0.025868911895737118,-0.014012834253260692
accrescent,-0.01897974075361807,-0.04949388886707832,-0.026423184567091047,-0.025868638642900024,-0.014012690509186144
accretive,-0.018949605814721493,-0.04949160329024097,-0.026306325389567353,-0.0258161057849692,-0.013966692405330567
accroaching,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
accumbrous,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
accurate,0.011034417307858896,0.05792746062923414,0.004825038863816308,-0.006058081206608798,0.006255080258102716
accursed,-0.017985528849542284,-0.02511516446100095,-0.019211445613256092,-0.024974008854262698,-0.013608913403778912
accusing,-0.01842549895743227,-0.043894987474526595,-0.024300474311868617,-0.02464610544975299,-0.013580883309241919
accusive,-0.018979499674106896,-0.0494946507260241,-0.02642298616441274,-0.025868911895737118,-0.014012762381223419
acentric,-0.01897877643557338,-0.04949198421971386,-0.026422390956377814,-0.025868638642900024,-0.014012690509186144
acerb,-0.01897937913435131,-0.04949236514918676,-0.02642258935905612,-0.02586877526931857,-0.01401261863714887
acerbate,-0.018979981833129243,-0.0494946507260241,-0.02642278776173443,-0.025868911895737118,-0.014012834253260692
acerbic,-0.01887547386503592,-0.0494946507260241,-0.025949200568612087,-0.021694974809165598,-0.013978982523704478
acescent,-0.018979861293373656,-0.0494946507260241,-0.0264232837684302,-0.025868911895737118,-0.014012834253260692
acetose,-0.018979861293373656,-0.0494946507260241,-0.0264232837684302,-0.025868911895737118,-0.014012834253260692
acharné,-0.018979620213862482,-0.04949236514918676,-0.026396003400162786,-0.025868638642900024,-0.014012690509186144
achatean,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
acherontic,-0.018979861293373656,-0.04949426979655121,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
achillean,-0.01894972635447708,-0.04946760473344884,-0.02639094413186592,-0.02586515466922711,-0.014000975367110426
achromic,-0.01897974075361807,-0.04949160329024097,-0.026416637278706866,-0.025865769488110566,-0.01400500020119779
aciculate,-0.018979981833129243,-0.04949426979655121,-0.026423085365751893,-0.025868911895737118,-0.014012834253260692
acid,-0.0015017172731160691,0.30857905379150335,0.01087632055222496,0.02639069319799793,-0.004094493109402003
acidiferous,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
acidulous,-0.018971785129749372,-0.04930532877799728,-0.026379337575184875,-0.02586515466922711,-0.014007300106390569
acknowledged,-0.015412005067774829,-0.0208106614173328,-0.014420020932106292,-0.020936698186236894,-0.010872026224372108
acquainted,-0.017545558741652298,-0.03940001969441295,-0.020024896594320864,-0.0192698558799792,-0.01072828214982343
acquiescent,-0.01876542106818563,-0.04832900653897768,-0.02631426149669969,-0.02575687823252963,-0.013870527619457503
acquired,-0.01637632311246521,-0.018677456369143277,-0.01342800754056389,-0.019310843805542915,-0.010261113907540231
acquisitive,-0.01833268334563082,-0.04862232223310374,-0.0256734208457633,-0.025633231323745762,-0.013990841409854744
acranial,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
acrid,-0.018944060985964524,-0.036009747385683175,-0.026151571300486738,-0.02578147098786786,-0.013862621695357326
acrimonious,-0.0187762696461884,-0.0489156379272298,-0.026346303529246513,-0.025795133629722432,-0.013964392500137788
acrobatical,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868843582527844,-0.014012690509186144
acronarcotic,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
active,0.1690620368814952,0.5333274427971855,0.11146647845462453,0.0670370527153474,0.013801644171908241
acute,-0.01688259008592766,-0.03852388190676368,-0.014420020932106292,-0.016510002225355806,-0.01153324896729602
adagio,-0.018951534450810874,-0.048275676412772944,-0.025401609176480683,-0.024359189970806994,-0.013401921936428817
adamantean,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
adaptable,-0.008312213463741891,-0.03658114159501965,-0.025352008506903563,-0.023061238994622722,-0.012726324786050036
