TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore,freq_index
a la militaire,-0.01856646601549275,-0.04893680039890982,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562673672923803
a la mode,-0.01740840623602752,-0.0483524717025545,-0.0517748563398376,-0.04604753576843718,-0.046654435036302,-0.04820732471178282
a-tiptoe,-0.01856368860413429,-0.04893795748543726,-0.05380060302315548,-0.05764197071513812,-0.06198237466940082,-0.05559072647328292
abandoned,-0.01587358456793543,0.05789892715682738,0.08043191323139572,0.00263911577434309,0.27964300786788654,0.031274092898657686
abashed,-0.01838291535180275,-0.04696011091453951,-0.05137287906871485,-0.05644640351973055,-0.04752545490442407,-0.050576212101852244
abject,0.03009861126547593,-0.04083912318440161,-0.05181587442872767,-0.0570557692398545,-0.06143698222889977,-0.05278693727047089
ablaze,-0.01757505091753555,-0.03825496327312725,-0.04054410360173482,-0.05149426360927115,-0.04806146713096072,-0.04458869940377348
able,0.05630288364753601,0.07216966099520813,0.2095021662721679,0.1111562988101157,0.26825274805398264,0.11228275243125693
abnormal,-0.00347183906730147,0.00313016485817692,0.03914037041538597,0.03081184598555329,-0.03010505754198279,9.127855861148745e-5
abortive,-0.018405859184764,-0.04677883402524116,-0.05321595852950894,-0.05760127677149971,-0.06134787019623805,-0.054735984880621966
aboveboard,-0.01829597030058117,-0.04828304651090832,-0.05298078815320583,-0.05729993290168499,-0.06105306347164289,-0.05490420775936051
abrasive,-0.01712945753002494,-0.03428229952892937,-0.03605945921641985,-0.05001258668705195,-0.05208155882998563,-0.0431089760655967
abrupt,-0.01700870051443941,-0.04265189207738511,-0.0427864257943923,-0.05226640510394877,-0.05261757105652229,-0.047580573508062114
absent,-0.00467940922315677,0.02125785378801193,-0.0141831451417127,-0.0044562385010728,0.03508742951053783,-5.152347694825849e-4
absent-minded,0.01681533955106761,-0.02949967521552609,-0.04256766265364523,-0.05584538527522473,0.19388105162202177,-0.02777434589833211
absinthine,-0.01856646601549275,-0.04893872887645555,-0.05383369094819348,-0.05767139556669205,-0.06206478654923083,-0.055627150485142975
absolute,-0.00774663741902924,0.02781467744348417,0.0164436945628773,0.04312437252230441,-0.03184709727822692,0.0011661593272763273
absolutist,-0.01842276516694597,-0.04765436283100128,-0.05242020760504146,-0.05766972607156843,-0.06055055200926478,-0.054573712129218986
absorbed,-0.00624925042576867,0.00197307833074064,-0.01254242158610966,-0.0411016564646914,-0.03312012631625147,-0.023253363698205298
absorbent,-0.01782864065026516,-0.03424372997801483,-0.0455209650537307,-0.04811353598392593,-0.04806146713096072,-0.043984924536658046
absorbing,-0.01768735494203009,-0.03925777159690536,0.0525396127861441,-0.05003345537609729,-0.02695598571107994,-0.033483641906528173
abstemious,-0.0174953512872491,-0.04878445067279738,-0.03999719574986714,-0.05717680763631747,-0.06176394968708713,-0.05193060093651728
abstentious,-0.01855765075335501,-0.04893101496627264,-0.05380279065456295,-0.05767139556669205,-0.06206411653394766,-0.055617329430368824
abstinent,0.0116227878808898,-0.04893872887645555,-0.05175844910428157,-0.0531011526657624,-0.05858740722957428,-0.05309643446901845
abstract,0.03637797607592352,0.40232501682369254,0.03121020656330463,0.01307346029701354,0.04714770460761256,0.031952336885963564
