term,Roivainen2010z
friendly,6.135372668
active,2.587447445
shy,2.213981632
quiet,1.653782912
energetic,1.653782912
serious,1.467050006
social,1.214960582
confident,1.130930774
enthusiastic,0.944197868
outspoken,0.589405345
sociable,0.397070452
silent,0.346652567
talkative,0.339183251
aggressive,0.206602887
competitive,0.148715686
adventurous,0.103899788
spirited,-0.039884549
reserved,-0.073496473
merry,-0.101506409
timid,-0.105241067
spontaneous,-0.122047028
communicative,-0.150056964
direct,-0.164995597
straightforward,-0.168730255
dominant,-0.202342178
humorous,-0.217280811
introverted,-0.224750127
passive,-0.250892734
dull,-0.252760063
assertive,-0.25836205
pessimistic,-0.260229379
bold,-0.284504657
carefree,-0.284504657
zealous,-0.290106644
extroverted,-0.303177948
mischievous,-0.310647264
gregarious,-0.316249251
daring,-0.31811658
forceful,-0.31811658
playful,-0.321851238
expressive,-0.325585896
submissive,-0.325585896
unfriendly,-0.329320555
cowardly,-0.331187884
verbal,-0.351728503
restrained,-0.351728503
boisterous,-0.357330491
assured,-0.357330491
meek,-0.35919782
vivacious,-0.364799807
flirtatious,-0.366667136
withdrawn,-0.368534465
flamboyant,-0.374136452
vigorous,-0.376003781
detached,-0.376003781
unsociable,-0.379738439
melancholic,-0.379738439
placid,-0.379738439
opportunistic,-0.379738439
magnetic,-0.381605768
sedate,-0.381605768
bashful,-0.383473097
bland,-0.383473097
inhibited,-0.385340426
sluggish,-0.385340426
aloof,-0.385340426
uninhibited,-0.390942414
unadventurous,-0.392809743
indirect,-0.392809743
rambunctious,-0.394677072
unrestrained,-0.394677072
uncommunicative,-0.396544401
somber,-0.396544401
uncompetitive,-0.396544401
unaggressive,-0.39841173
nonpersistent,-0.39841173
negativistic,-0.399345394
exhibitionistic,-0.399345394
honest,6.695571387
reasonable,6.135372668
kind,4.454776509
warm,4.268043603
religious,3.334379071
sensitive,1.433438083
helpful,1.048768295
generous,0.936728551
passionate,0.858300731
humble,0.781740239
jovial,0.757464961
optimistic,0.72011838
understanding,0.665965837
cheerful,0.652894534
compassionate,0.634221243
loyal,0.527783486
sincere,0.484834918
rude,0.410141755
pleasant,0.402672439
thoughtful,0.346652567
moral,0.26075543
flexible,0.171123635
respectful,0.128175066
peaceful,0.053481904
bitter,0.044145258
polite,0.032941284
greedy,0.014267993
considerate,0.008666006
stubborn,0.008666006
affectionate,0.003064019
modest,-0.062292498
cruel,-0.067894485
cynical,-0.077231131
cold,-0.092169763
sarcastic,-0.127649016
tolerant,-0.133251003
conscientious,-0.1780669
tough,-0.191138204
abusive,-0.213546153
gullible,-0.215413482
sympathetic,-0.21914814
sentimental,-0.224750127
charitable,-0.247158076
critical,-0.247158076
insensitive,-0.260229379
trustful,-0.267698695
agreeable,-0.275168012
demanding,-0.277035341
amiable,-0.280769999
deceitful,-0.282637328
intolerant,-0.301310619
unselfish,-0.303177948
inconsiderate,-0.306912606
conceited,-0.314381922
feminine,-0.323718567
courteous,-0.327453225
benevolent,-0.329320555
egotistical,-0.331187884
belligerent,-0.331187884
argumentative,-0.336789871
disrespectful,-0.340524529
cooperative,-0.344259187
accommodating,-0.344259187
boastful,-0.346126516
rebellious,-0.346126516
ruthless,-0.349861174
rough,-0.353595832
unkind,-0.353595832
harsh,-0.362932478
sly,-0.364799807
domineering,-0.366667136
impolite,-0.366667136
callous,-0.368534465
bigoted,-0.370401794
