TDA,coded,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
a la militaire,[a la militaire person],NA,NA,NA,NA,NA
a la mode,[a la mode person],NA,NA,NA,NA,NA
a-tiptoe,[a - tiptoe person],NA,NA,NA,NA,NA
abandoned,[abandoned person],-0.11407943568238141,0.028561314992000313,-0.042688800970457165,-0.031231673604103182,-0.027670704523346377
abashed,[abashed person],NA,-0.05757933453132488,-0.050655670413088466,-0.04937743539032741,-0.05977356350706983
abject,[abject person],-0.12297374819601906,-0.054896535411428596,-0.04981990007506829,NA,NA
ablaze,[ablaze person],NA,NA,NA,NA,NA
able,[able person],0.028810219123461617,-0.02929782452699639,0.08440690141006214,-0.04646939195799934,-0.05272973703032852
abnormal,[abnormal person],-0.07946898981808953,-0.053162455576102115,-0.04572079316098215,-0.04898158855985061,-0.0589735339147712
abortive,[abortive person],NA,-0.056129905536891615,-0.050707856747074086,-0.0503412389608573,NA
aboveboard,[aboveboard person],NA,NA,NA,NA,NA
abrasive,[abrasive person],-0.11551390994692211,-0.05291648266145506,-0.047124075791912856,NA,NA
abrupt,[abrupt person],-0.12761469434600367,-0.05692449737518137,-0.04923773503179463,NA,NA
absent,[absent person],0.17689144080894842,-0.038517426885976175,-0.03299544303792377,-0.04623868002517626,-0.0470771002452628
absent-minded,[absent - minded person],-0.11485888580618468,-0.05673811884840606,-0.047636922054622464,-0.0495936011444402,-0.05865301264006413
absinthine,[absinthine person],NA,NA,NA,NA,NA
absolute,[absolute person],-0.08641968266521592,-0.05583018082141907,-0.04698881963471471,NA,-0.059312734575024104
absolutist,[absolutist person],NA,NA,NA,NA,NA
absorbed,[absorbed person],-0.08883669314086275,-0.048467352625736995,-0.04235629625067841,-0.04880387479454167,-0.057438852579584365
absorbent,[absorbent person],NA,NA,NA,NA,NA
absorbing,[absorbing person],-0.12993187799845513,-0.057717920696061895,-0.04723904352553127,NA,NA
abstemious,[abstemious person],-0.12379038309637075,-0.05754176669661751,-0.04431751053005144,NA,-0.060847840441700614
abstentious,[abstentious person],NA,NA,NA,NA,NA
abstinent,[abstinent person],-0.12211849833540557,-0.05692625015129525,-0.0506567693693657,NA,NA
abstract,[abstract person],-0.08094207904289204,-0.05341543959520466,-0.037084123956559224,-0.050122450125337746,NA
abstracted,[abstracted person],-0.12958992107258108,-0.05724344420203607,-0.04862682805511636,-0.05023288185256292,-0.060168059393853335
abstractive,[abstractive person],NA,NA,NA,NA,NA
abstruse,[abstruse person],NA,NA,NA,NA,NA
absurd,[absurd person],-0.10023525733666465,-0.053778264250776676,-0.03448607860371161,-0.04905431945340207,-0.05776361916918822
abundant,[abundant person],-0.1248487190442871,-0.05679187064923154,-0.05064637155228109,NA,NA
abusive,[abusive person],0.028438371357977492,-0.04582066069378652,0.034136696318086614,NA,-0.05702705703459647
abysmal,[abysmal person],NA,NA,-0.05083727998249305,NA,NA
academic,[academic person],-0.09690292928444151,-0.043337561199131,-0.04291986357233732,-0.048823607520578995,-0.05829746751745861
acanaceous,[acanaceous person],NA,NA,NA,NA,NA
acaroid,[acaroid person],NA,NA,NA,NA,NA
acceding,[acceding person],NA,NA,NA,NA,NA
accelerative,[accelerative person],NA,NA,NA,NA,NA
accendible,[accendible person],NA,NA,NA,NA,NA
acceptable,[acceptable person],-0.08497519711468142,-0.050740118986727575,-0.046794388908742386,-0.048155914071581984,-0.05700158514521578
acceptant,[acceptant person],-0.12986927885731958,NA,NA,NA,NA
accepting,[accepting person],-0.07399138619576566,-0.05246368216537082,-0.04775808902877914,-0.04964952047079369,-0.06070965544181035
accessible,[accessible person],-0.1137790971025673,-0.05633907015314729,-0.048357161091702565,-0.050074638505150634,NA
accident-prone,[accident-prone person],NA,NA,NA,NA,NA
accidental,[accidental person],-0.126855266794188,-0.053185825924287104,-0.04472327900164586,NA,NA
accidential,[accidential person],NA,NA,NA,NA,NA
accipitral,[accipitral person],NA,NA,NA,NA,NA
acclaimed,[acclaimed person],-0.1303806696477202,-0.05529675262409661,-0.04982046364238995,NA,NA
accommodating,[accommodating person],-0.10578437014465855,-0.050880341075837526,-0.04323827910907461,-0.04803668309854679,-0.060521694124755304
accomplished,[accomplished person],0.0039250225102930875,0.07541886310291152,0.002717818135601899,-0.030736865066007174,-0.055005225815003875
accordiable,[accordiable person],NA,NA,NA,NA,NA
accostable,[accostable person],NA,NA,NA,NA,NA
accountable,[accountable person],-0.06581073535511485,NA,-0.050607513585452714,NA,NA
accountless,[accountless person],NA,NA,NA,NA,NA
accrescent,[accrescent person],NA,NA,NA,NA,NA
accretive,[accretive person],NA,NA,NA,NA,NA
accroaching,[accroaching person],NA,NA,NA,NA,NA
accumbrous,[accumbrous person],NA,NA,NA,NA,NA
accurate,[accurate person],-0.11511774905831015,-0.0576070283939241,-0.04880435176143892,-0.0503870236545028,-0.06051617521538949
accursed,[accursed person],-0.12406926892048382,-0.03911921335173974,-0.04243801351231895,-0.0488802422327707,-0.05693472143559146
accusing,[accusing person],-0.12845950386550933,-0.05526929246497923,-0.05014958695823876,-0.050036067285373756,NA
accusive,[accusive person],NA,NA,NA,NA,NA
